NOCCourseId,Duration,Duration (int)
noc22-mg53,8 Weeks,8 
noc22-mg54,8 Weeks,8 
noc22-mg55,12 Weeks,12
noc22-ma08,12 Weeks,12
noc22-ma09,12 Weeks,12
noc22-ma32,12 Weeks,12
noc22-me14,12 Weeks,12
noc22-me31,12 Weeks,12
noc22-me43,12 Weeks,12
noc22-me59,12 Weeks,12
noc22-me60,12 Weeks,12
noc22-me62,8 Weeks,8 
noc22-me63,12 Weeks,12
noc22-mm19,12 Weeks,12
noc22-mm20,12 Weeks,12
noc22-mm23,4 Weeks,4 
noc22-mm24,12 Weeks,12
noc22-ge03,12 Weeks,12
noc22-ge04,8 Weeks,8 
noc22-ge06,12 Weeks,12
noc22-ge12,12 Weeks,12
noc22-ge13,4 Weeks,4 
noc22-ph03,12 Weeks,12
noc22-ph05,12 Weeks,12
noc22-ph21,12 Weeks,12
noc22-ag01,12 Weeks,12
noc22-bt09,12 Weeks,12
noc22-ch06,12 Weeks,12
noc22-ch08,4 Weeks,4 
noc22-ch15,12 Weeks,12
noc22-ch22,8 Weeks + 4 Weeks(New),12
noc22-cy30,12 Weeks,12
noc22-cy31,8 Weeks,8 
noc22-cy32,12 Weeks,12
noc22-ce30,12 Weeks,12
noc22-ce31,12 Weeks,12
noc22-ce35,12 Weeks,12
noc22-ee20,12 Weeks,12
noc22-ee58,12 Weeks,12
noc22-hs49,8 Weeks,8 
noc22-mg12,12 Weeks,12
noc22-mg17,12 Weeks,12
noc22-ma03,12 Weeks,12
noc22-ma33,12 Weeks,12
noc22-me26,12 Weeks,12
noc22-mm18,8 Weeks,8 
noc22-ph04,12 Weeks,12
noc22-ph20,12 Weeks,12
noc22-ae05,12 Weeks,12
noc22-bt05,12 Weeks,12
noc22-ch07,12 Weeks,12
noc22-ee26,8 Weeks,8 
noc22-ee51,12 Weeks,12
noc22-ma06,12 Weeks,12
noc22-me27,8 Weeks,8 
noc22-me39,12 Weeks,12
noc22-cy33,12 Weeks,12
noc22-cs04,12 Weeks,12
noc22-ee13,12 Weeks,12
noc22-ee27,12 Weeks,12
noc22-ee50,12 Weeks,12
noc22-me34,12 Weeks,12
noc22-ge01,12 Weeks,12
noc22-ph14,12 Weeks,12
noc22-ee66,12 weeks,12
noc22-ae06,8 Weeks,8 
noc22-ae07,12 Weeks,12
noc22-bt01,12 Weeks,12
noc22-ch09,12 Weeks,12
noc22-cy11,12 Weeks,12
noc22-ce03,12 Weeks,12
noc22-ce23,12 Weeks,12
noc22-ce24,12 Weeks,12
noc22-ce44,12 Weeks,12
noc22-ce45,12 Weeks,12
noc22-cs39,4 Weeks,4 
noc22-cs42,12 Weeks,12
noc22-de01,4 Weeks,4 
noc22-de04,4 Weeks,4 
noc22-de05,8 Weeks,8 
noc22-ee22,12 Weeks,12
noc22-hs35,12 Weeks,12
noc22-mg40,8 Weeks,8 
noc22-ma25,12 Weeks,12
noc22-me44,12 Weeks,12
noc22-ph06,12 Weeks,12
noc22-de08,12 Weeks,12
noc22-bt08,8 Weeks,8 
noc22-bt11,12 Weeks,12
noc22-cy04,12 Weeks,12
noc22-cy05,12 Weeks,12
noc22-cy09,12 Weeks,12
noc22-cy10,12 Weeks,12
noc22-cy27,12 Weeks,12
noc22-mg21,12 Weeks,12
noc22-ma05,12 Weeks,12
noc22-mm07,12 Weeks,12
noc22-ph02,12 Weeks,12
noc22-ph07,12 Weeks,12
noc22-ar02,4 Weeks,4 
noc22-ar04,4 Weeks,4 
noc22-ar05,8 Weeks,8 
noc22-ar06,8 Weeks,8 
noc22-ar07,12 Weeks,12
noc22-bt27,4 Weeks,4 
noc22-bt28,12 Weeks,12
noc22-ch24,12 Weeks,12
noc22-ch25,12 Weeks,12
noc22-ch31,4 Weeks,4 
noc22-ch34,12 Weeks,12
noc22-ce04,12 Weeks,12
noc22-ce05,8 Weeks,8 
noc22-ce10,12 Weeks,12
noc22-ce15,12 Weeks,12
noc22-ce16,12 Weeks,12
noc22-ce22,12 Weeks,12
noc22-ce26,12 Weeks,12
noc22-ce27,12 Weeks,12
noc22-ce28,12 Weeks,12
noc22-cs08,12 Weeks,12
noc22-hs09,12 Weeks,12
noc22-hs21,12 Weeks,12
noc22-hs40,8 Weeks,8 
noc22-hs51,12 Weeks,12
noc22-hs58,8 Weeks,8 
noc22-mg07,12 Weeks,12
noc22-mg08,12 Weeks,12
noc22-mg09,12 Weeks,12
noc22-mg15,12 Weeks,12
noc22-mg22,12 Weeks,12
noc22-mg25,12 Weeks,12
noc22-mg28,8 Weeks,8 
noc22-mg35,12 Weeks,12
noc22-mg38,12 Weeks,12
noc22-mg39,12 Weeks,12
noc22-mg42,12 Weeks,12
noc22-mg49,12 Weeks,12
noc22-ma02,12 Weeks,12
noc22-me03,12 Weeks,12
noc22-me07,8 Weeks,8 
noc22-me23,4 Weeks,4 
noc22-me53,4 Weeks,4 
noc22-me55,12 Weeks,12
noc22-me56,8 Weeks,8 
noc22-mm22,12 Weeks,12
noc22-ph13,12 Weeks,12
noc22-ph18,8 Weeks,8 
noc22-ma18,12 Weeks,12
noc22-ch29,12 Weeks,12
noc22-mg10,4 Weeks,4 
noc22-ch30,12 Weeks,12
noc22-bt17,12 Weeks,12
noc22-bt20,8 Weeks,8 
noc22-ce19,12 Weeks,12
noc22-ce25,12 Weeks,12
noc22-ch02,12 Weeks,12
noc22-ch03,12 Weeks,12
noc22-ch04,12 Weeks,12
noc22-ch13,12 Weeks,12
noc22-ch14,12 Weeks,12
noc22-ch27,12 Weeks,12
noc22-ch28,12 Weeks,12
noc22-cs10,8 Weeks,8 
noc22-cy03,12 Weeks,12
noc22-de03,12 Weeks,12
noc22-ee09,12 Weeks,12
noc22-ee35,12 Weeks,12
noc22-ee48,12 Weeks,12
noc22-ee60,12 Weeks,12
noc22-ge11,12 Weeks,12
noc22-hs12,8 Weeks,8 
noc22-hs14,12 Weeks,12
noc22-hs15,12 Weeks,12
noc22-hs18,8 Weeks,8 
noc22-hs19,12 Weeks,12
noc22-hs23,12 Weeks,12
noc22-hs41,8 Weeks,8 
noc22-hs46,12 Weeks,12
noc22-ma17,12 Weeks,12
noc22-me02,12 Weeks,12
noc22-me15,12 Weeks,12
noc22-me30,12 Weeks,12
noc22-me46,12 Weeks,12
noc22-me48,12 Weeks,12
noc22-me49,12 Weeks,12
noc22-me65,12 Weeks,12
noc22-mm15,8 Weeks,8 
noc22-ph15,12 Weeks,12
noc22-ae01,12 Weeks,12
noc22-ae04,8 Weeks,8 
noc22-bt24,12 Weeks,12
noc22-bt25,8 Weeks,8 
noc22-bt31,12 Weeks,12
noc22-ce02,12 Weeks,12
noc22-ce46,12 Weeks,12
noc22-cs17,8 Weeks,8 
noc22-cs40,8 Weeks,8 
noc22-cs60,12 Weeks,12
noc22-ee40,8 Weeks,8 
noc22-ee04,12 Weeks,12
noc22-ee05,12 Weeks,12
noc22-ee21,12 Weeks,12
noc22-hs08,8 Weeks,8 
noc22-hs42,12 Weeks,12
noc22-hs47,8 Weeks,8 
noc22-hs48,8 Weeks,8 
noc22-hs68,12 Weeks,12
noc22-mg03,12 Weeks,12
noc22-mg05,8 Weeks,8 
noc22-mg13,12 Weeks,12
noc22-ma34,12 Weeks,12
noc22-ma35,12 Weeks,12
noc22-me09,12 Weeks,12
noc22-me10,12 Weeks,12
noc22-me11,12 Weeks,12
noc22-me16,8 Weeks,8 
noc22-me28,12 Weeks,12
noc22-me29,8 Weeks,8 
noc22-me41,8 Weeks,8 
noc22-me51,12 Weeks,12
noc22-me52,12 Weeks,12
noc22-mm06,8 Weeks,8 
noc22-mm09,12 Weeks,12
noc22-mm10,8 Weeks,8 
noc22-ch26,12 Weeks,12
noc22-cs15,12 Weeks,12
noc22-cs56,12 Weeks,12
noc22-ee10,12 Weeks,12
noc22-ee16,12 Weeks,12
noc22-ma30,12 Weeks,12
noc22-ma31,12 Weeks,12
noc22-ph19,12 Weeks,12
noc22-te06,12 Weeks,12
noc22-ce50,12 Weeks,12
noc22-me68,12 Weeks,12
noc22-cs41,12 Weeks,12
noc22-te01,12 Weeks,12
noc22-te02,8 Weeks,8 
noc22-te03,12 Weeks,12
noc22-te05,12 Weeks,12
noc22-me67,12 Weeks,12
noc22-bt03,12 Weeks,12
noc22-bt04,12 Weeks,12
noc22-bt12,12 Weeks,12
noc22-bt15,8 Weeks,8 
noc22-bt16,12 Weeks,12
noc22-bt22,12 Weeks,12
noc22-ch16,12 Weeks,12
noc22-ch19,12 Weeks,12
noc22-ch20,12 Weeks,12
noc22-ch21,12 Weeks,12
noc22-ch33,12 Weeks,12
noc22-cy14,12 Weeks,12
noc22-cy16,12 Weeks,12
noc22-cy18,12 Weeks,12
noc22-cy19,12 Weeks,12
noc22-cy21,12 Weeks,12
noc22-cy23,12 Weeks,12
noc22-cy24,12 Weeks,12
noc22-cy25,8 Weeks,8 
noc22-cy36,12 Weeks,12
noc22-ce11,12 Weeks,12
noc22-ce12,12 Weeks,12
noc22-ce13,12 Weeks,12
noc22-ce14,12 Weeks,12
noc22-ce40,12 Weeks,12
noc22-ce47,12 Weeks,12
noc22-cs02,12 Weeks,12
noc22-cs24,8 Weeks,8 
noc22-cs25,12 Weeks,12
noc22-cs29,12 Weeks,12
noc22-cs31,12 Weeks,12
noc22-cs33,12 Weeks,12
noc22-cs34,12 Weeks,12
noc22-cs35,12 Weeks,12
noc22-cs36,4 Weeks,4 
noc22-cs37,12 Weeks,12
noc22-cs57,12 Weeks,12
noc22-cs59,12 Weeks,12
noc22-de02,12 Weeks,12
noc22-de06,12 Weeks,12
noc22-hs66,12 Weeks,12
noc22-ee31,12 Weeks,12
noc22-ee32,12 Weeks,12
noc22-ee34,12 Weeks,12
noc22-ee37,12 Weeks,12
noc22-ee38,12 Weeks,12
noc22-ee01,12 Weeks,12
noc22-ee41,12 Weeks,12
noc22-ee42,12 Weeks,12
noc22-ee43,12 Weeks,12
noc22-ee44,12 Weeks,12
noc22-ee45,12 Weeks,12
noc22-hs06,12 Weeks,12
noc22-hs24,12 Weeks,12
noc22-hs26,12 Weeks,12
noc22-hs27,12 Weeks,12
noc22-hs29,12 Weeks,12
noc22-hs30,12 Weeks,12
noc22-hs31,12 Weeks,12
noc22-hs34,8 Weeks,8 
noc22-hs01,12 Weeks,12
noc22-hs37,8 Weeks,8 
noc22-hs38,12 Weeks,12
noc22-hs32,12 weeks,12
noc22-hs52,12 Weeks,12
noc22-hs53,12 Weeks,12
noc22-hs55,12 Weeks,12
noc22-hs56,12 Weeks,12
noc22-hs57,8 Weeks,8 
noc22-hs59,12 Weeks,12
noc22-mg30,8 Weeks,8 
noc22-mg32,4 Weeks,4 
noc22-mg34,12 Weeks,12
noc22-mg01,12 Weeks,12
noc22-mg37,12 Weeks,12
noc22-ma13,12 Weeks,12
noc22-ma14,12 Weeks,12
noc22-ma15,12 Weeks,12
noc22-ma01,12 Weeks,12
noc22-ma19,12 Weeks,12
noc22-ma22,12 Weeks,12
noc22-ma23,12 Weeks,12
noc22-ma24,8 Weeks + 4 Weeks(New),12
noc22-ma27,12 Weeks,12
noc22-ma36,12 Weeks,12
noc22-ma37,8 Weeks,8 
noc22-me36,12 Weeks,12
noc22-me37,12 Weeks,12
noc22-mm01,12 Weeks,12
noc22-mm03,12 Weeks,12
noc22-mm12,12 Weeks,12
noc22-mm14,12 Weeks,12
noc22-ge08,12 Weeks,12
noc22-ge09,8 Weeks,8 
noc22-ge10,12 Weeks,12
noc22-ge14,12 Weeks,12
noc22-oe01,12 Weeks,12
noc22-ph12,8 Weeks,8 
noc22-ph16,12 Weeks,12
noc22-ph17,12 Weeks,12
noc22-ph22,12 Weeks,12
noc22-ee33,8 Weeks,8 
noc22-ae02,4 Weeks,4 
noc22-bt26,4 Weeks,4 
noc22-hs36,4 Weeks,4 
noc22-hs02,4 Weeks,4 
noc22-me17,4 Weeks,4 
noc22-me32,12 Weeks,12
noc22-ee53,4 Weeks,4 
noc22-ae11,8 Weeks,8 
noc22-ae15,8 Weeks,8 
noc22-ae16,8 Weeks,8 
noc22-ae19,8 Weeks,8 
noc22-ag09,8 Weeks,8 
noc22-ar08,8 Weeks,8 
noc22-ar09,8 Weeks,8 
noc22-ar11,8 Weeks,8 
noc22-ar14,8 Weeks,8 
noc22-bt32,8 Weeks,8 
noc22-bt37,8 Weeks,8 
noc22-bt38,8 Weeks,8 
noc22-bt43,8 Weeks,8 
noc22-bt44,8 Weeks,8 
noc22-bt47,8 Weeks,8 
noc22-bt49,4 Weeks,4 
noc22-bt50,8 Weeks,8 
noc22-bt61,8 Weeks,8 
noc22-ch38,8 Weeks,8 
noc22-ch41,8 Weeks,8 
noc22-ch42,8 Weeks,8 
noc22-ch49,8 weeks,8 
noc22-ch57,8 weeks,8 
noc22-ch63,4 Weeks,4 
noc22-ch64,4 Weeks,4 
noc22-cy37,4 weeks,4 
noc22-cy38,8 Weeks,8 
noc22-cy42,8 Weeks,8 
noc22-cy45,8 Weeks,8 
noc22-cy53,8 Weeks,8 
noc22-cy57,8 Weeks,8 
noc22-cy63,8 Weeks,8 
noc22-cy64,8 Weeks,8 
noc22-ce101,4 weeks,4 
noc22-ce51,4 weeks,4 
noc22-ce52,8 Weeks,8 
