NOCCourseId,Duration,Duration (int)
noc22-ee91,12 Weeks,12
noc22-ee92,12 Weeks,12
noc22-ee93,12 Weeks,12
noc22-ee96,12 Weeks,12
noc22-ee97,12 Weeks,12
noc22-ee99,12 Weeks,12
noc22-ee100,12 Weeks,12
noc22-ee101,12 Weeks,12
noc22-ee102,12 Weeks,12
noc22-ee103,12 Weeks,12
noc22-ee105,12 Weeks,12
noc22-ee106,12 Weeks,12
noc22-ee107,12 Weeks,12
noc22-ee109,12 Weeks,12
noc22-ee110,12 Weeks,12
noc22-ee111,12 Weeks,12
noc22-ee112,12 Weeks,12
noc22-ee113,12 Weeks,12
noc22-ee114,12 Weeks,12
noc22-ee115,12 Weeks,12
noc22-ee116,12 Weeks,12
noc22-ee118,12 Weeks,12
noc22-ee119,12 Weeks,12
noc22-ee120,12 Weeks,12
noc22-ee121,12 Weeks,12
noc22-ee122,12 Weeks,12
noc22-ee123,12 Weeks,12
noc22-ch66,12 Weeks,12
noc22-ee124,12 Weeks,12
noc22-hs75,12 Weeks,12
noc22-hs76,12 Weeks,12
noc22-hs78,4 weeks,4 
noc22-hs81,4 weeks,4 
noc22-hs84,12 Weeks,12
noc22-hs85,12 Weeks,12
noc22-hs87,12 Weeks,12
noc22-hs88,12 Weeks,12
noc22-hs89,12 Weeks,12
noc22-hs91,12 Weeks,12
noc22-hs92,12 Weeks,12
noc22-hs93,12 Weeks,12
noc22-hs95,12 Weeks,12
noc22-hs96,8 Weeks,8 
noc22-hs98,12 Weeks,12
noc22-hs99,12 Weeks,12
noc22-hs100,12 Weeks,12
noc22-hs101,8 Weeks,8 
noc22-hs102,12 Weeks,12
noc22-hs105,8 Weeks,8 
noc22-hs106,12 Weeks,12
noc22-hs107,4 Weeks,4 
noc22-hs108,4 Weeks,4 
noc22-hs113,12 Weeks,12
noc22-hs114,12 Weeks,12
noc22-hs117,4 Weeks,4 
noc22-hs118,12 Weeks,12
noc22-hs119,12 Weeks,12
noc22-hs120,12 Weeks,12
noc22-hs121,12 Weeks,12
noc22-hs122,12 Weeks,12
noc22-hs123,8 weeks,8 
noc22-hs125,12 Weeks,12
noc22-hs126,12 Weeks,12
noc22-hs127,8 weeks,8 
noc22-hs128,12 Weeks,12
noc22-hs132,12 Weeks,12
noc22-hs133,12 Weeks,12
noc22-hs134,12 Weeks,12
noc22-hs135,8 Weeks,8 
noc22-hs136,12 Weeks,12
noc22-hs138,12 Weeks,12
noc22-hs139,12 Weeks,12
noc22-hs141,12 Weeks,12
noc22-lw01,12 Weeks,12
noc22-lw02,12 Weeks,12
noc22-lw05,12 Weeks,12
noc22-lw06,12 Weeks,12
noc22-mg57,8 Weeks,8 
noc22-mg59,12 Weeks,12
noc22-mg61,12 Weeks,12
noc22-mg62,4 weeks,4 
noc22-mg65,12 Weeks,12
noc22-mg66,12 Weeks,12
noc22-mg69,8 Weeks,8 
noc22-mg70,8 Weeks,8 
noc22-mg71,12 Weeks,12
noc22-mg72,8 Weeks,8 
noc22-mg73,8 Weeks,8 
noc22-mg74,12 Weeks,12
noc22-mg75,4 Weeks,4 
noc22-mg78,12 Weeks,12
noc22-mg80,12 Weeks,12
noc22-mg81,12 Weeks,12
noc22-mg82,12 Weeks,12
noc22-mg83,12 Weeks,12
noc22-mg85,4 weeks,4 
noc22-mg86,8 Weeks,8 
noc22-mg87,8 Weeks,8 
noc22-mg88,12 Weeks,12
noc22-mg89,8 Weeks,8 
noc22-mg90,12 Weeks,12
noc22-mg93,8 Weeks,8 
noc22-mg94,12 Weeks,12
noc22-mg95,8 Weeks,8 
noc22-mg96,4 Weeks,4 
noc22-mg97,12 Weeks,12
noc22-mg98,8 Weeks,8 
noc22-mg100,12 Weeks,12
noc22-ma38,12 Weeks,12
noc22-mg101,8 Weeks,8 
noc22-mg102,12 Weeks,12
noc22-mg103,8 Weeks,8 
noc22-mg104,12 Weeks,12
noc22-mg105,12 Weeks,12
noc22-mg107,8 Weeks,8 
noc22-mg108,12 Weeks,12
noc22-mg111,4 Weeks,4 
noc22-ma40,12 Weeks,12
noc22-ma41,12 Weeks,12
noc22-ma42,12 Weeks,12
noc22-ma43,12 Weeks,12
noc22-ma45,12 Weeks,12
noc22-ma46,12 Weeks,12
noc22-ma47,12 Weeks,12
noc22-ma51,12 Weeks,12
noc22-ma52,12 Weeks,12
noc22-ma55,12 Weeks,12
noc22-ma56,12 Weeks,12
noc22-ma57,12 Weeks,12
noc22-ma58,12 Weeks,12
noc22-ma59,12 Weeks,12
